name (tên sản phẩm hiện bên ngoài),path (đường dẫn trong hệ thống)
Landing page cho lớp học Pilates,./products/Onepage/14_web_desktop_onepage_landing page_asymmetric pilates landing page/
Landing page cho khoá học Pilates,./products/Onepage/15_web_desktop_onepage_landing page_overlapping dual-tone pilates site/
Trang Coming Soon cho xưởng rang cà phê thủ công,./products/Onepage/16_web_desktop_onepage_coming soon_artisan coffee roastery coming soon/
Landing page ra mắt thương hiệu thời trang xanh,./products/Onepage/17_web_desktop_onepage_coming soon_eco-fashion launch page/
Landing page giới thiệu sản phẩm AI NeuralNext,./products/Onepage/18_web_desktop_onepage_coming soon_AI tech startup teaser/
Trang Coming Soon cho agency sáng tạo,./products/Onepage/20_web_desktop_onepage_coming soon_creative agency coming soon/
Landing page giới thiệu thương hiệu thời trang ERIN,./products/Onepage/24_web_desktop_onepage_coming soon_modern fashion launch page/
Trang Coming Soon cho bộ sưu tập túi xách cao cấp ERIN,./products/Onepage/25_web_desktop_onepage_coming soon_luxury handbag teaser page/
Landing page nhá hàng khai trương trung tâm gaming,./products/Onepage/27_web_desktop_onepage_coming soon_gaming center launch teaser/
Trang Coming Soon cho khu nghỉ dưỡng nhiệt đới,./products/Onepage/29_web_desktop_onepage_coming soon_tropical resort coming soon/
Trang Coming Soon cho agency marketing,./products/Onepage/33_web_desktop_onepage_coming soon_bold marketing agency launch/
Trang Coming Soon cho resort nghỉ dưỡng nhiệt đới,./products/Onepage/36_web_desktop_onepage_coming soon_tropical escape resort lauch/
Trang chủ website lớp học Pilates (giao diện chia đôi),./products/Onepage/Done_13_web_desktop_onepage_landing page_modern split-screen pilates home/
Landing page dịch vụ thiết kế nội thất cao cấp,./products/Onepage/Done_19_web_desktop_onepage_coming soon_luxury interior design teaser/
Trang Coming Soon cho thương hiệu/nhà hàng The Rustic Root,./products/Onepage/Done_21_web_desktop_onepage_coming soon_gourmet restaurant launch page/
Landing page giới thiệu phụ kiện gaming CyberGear,./products/Onepage/Done_22_web_desktop_onepage_coming soon_gaming gear teaser page/
Trang Coming Soon cho thương hiệu chăm sóc da Aura,./products/Onepage/Done_23_web_desktop_onepage_coming soon_wellness & skincare launch/
Trang Coming Soon cho agency marketing sáng tạo,./products/Onepage/Done_26_web_desktop_onepage_coming soon_creative marketing agency teaser/
Landing page nhá hàng smartphone cao cấp,./products/Onepage/Done_28_web_desktop_onepage_coming soon_premium smartphone teaser/
Landing page ra mắt dòng mỹ phẩm cao cấp,./products/Onepage/Done_30_web_desktop_onepage_coming soon_premium cosmetics lauch page/
Trang Dropping Soon cho bộ sưu tập thời trang Streetwear,./products/Onepage/Done_31_web_desktop_onepage_coming soon_streetwear fashion coming soon/
Landing page giới thiệu sự kiện ra mắt Luxe,./products/Onepage/Done_32_web_desktop_onepage_coming soon_luxury hanbag teaser luxe/
Trang Coming Soon cho trung tâm gaming Neon Pixel,./products/Onepage/Done_34_web_desktop_onepage_coming soon_neon pixel gaming center/
Landing page nhá hàng smartphone thế hệ mới,./products/Onepage/Done_35_web_desktop_onepage_coming soon_next-gen smartphone teaser/
Trang Coming Soon cho thương hiệu mỹ phẩm Glow,./products/Onepage/Done_37_web_desktop_onepage_coming soon_aesthetic cosmetics coming soon/
Website trưng bày & bán sản phẩm Studio Templexa,./products/E-commerce/1_web_desktop_ecommerce_digital design_Blueprint Studio/
Website bán mỹ phẩm L’Essence Royale,./products/E-commerce/21_web_desktop_ecommerce_cosmetic_L essence royale/
Website bán mỹ phẩm hữu cơ An Nhiên Organics,./products/E-commerce/22_web_desktop_ecommerce_cosmetic_an nhien organic/
Website bán mỹ phẩm GlowUp VN,./products/E-commerce/23_web_desktop_ecommerce_cosmetic_glow up VN/
Website bán mỹ phẩm cao cấp Imperial Beauty,./products/E-commerce/24_web_desktop_ecommerce_cosmetic_imperial beauty/
Website bán mỹ phẩm K-Glow Ritual,./products/E-commerce/25_web_desktop_ecommerce_cosmetic_k-glow ritual/
Website bán mỹ phẩm dưỡng da Nhật Zen Beauty,./products/E-commerce/26_web_desktop_ecommerce_cosmetic_janpanese skincare art/
Website bán mỹ phẩm phong cách Châu Âu Parisian Elite,./products/E-commerce/27_web_desktop_ecommerce_cosmetic_parisian elite/
Website bán mỹ phẩm tổng hợp Global Beauty Hub,./products/E-commerce/28_web_desktop_ecommerce_cosmetic_global beauty hub marketplace/
Website bán xà bông thủ công Gói Ghém Thảo Mộc,./products/E-commerce/29_web_desktop_ecommerce_beauty care_goi ghem thao moc/
Website bán sản phẩm chăm sóc cơ thể Aura,./products/E-commerce/30_web_desktop_ecommerce_beauty care_aura bath & body/
Website bán sản phẩm tắm & chăm sóc toàn thân Sắc Tắm Modern,./products/E-commerce/31_web_desktop_ecommerce_beauty care_sac tam modern/
Website bán sản phẩm tóc & cơ thể từ thảo mộc Botanica Essence,./products/E-commerce/32_web_desktop_ecommerce_beauty care_botanica essence/
Website bán sản phẩm tóc & cơ thể Nordic Bath,./products/E-commerce/33_web_desktop_ecommerce_beauty care_nordic bath-pure hair & body/
Website bán sản phẩm chăm sóc cơ thể thủ công Silk & Stone,./products/E-commerce/34_web_desktop_ecommerce_beauty care_silk & stone/
